expression,context,category
гэтак жа,"Студзеньскія ізатэрмы праходзяць у мерыдыянальным напрамку: на паўночным узбярэжжы Каспія ГЭТАК ЖА холадна( – 10° С), як і на паўднёвым – Белага мора.",adv_pred
ўсе роўна,"І колькі б я не зарабляў, хоць мільён, хоць сто мільёнаў, табе ЎСЕ РОЎНА будзе мала.",adv_pred
толькі што,"Старшыня беларускага фонду культуры Уладзімір Гілеп прэзентаваў у Ялце новае арыгінальнае выданне твораў Максіма Багдановіча, ТОЛЬКІ ШТО выпушчанае ў свет фондам культуры.",adv_pred
тут жа,"— У Свярдлоўску сыйшла, — сказаў я першае, што прыйшло ў галаву, і ТУТ ЖА падумаў: “А, можа, і праўда: у Свярдлоўску сыйшла?..",adv_pred
да гэтай пары,ДА ГЭТАЙ ПАРЫ яны мне любоўна кажуць: “Якое гладкае ў цябе і мускулістае цела…”,adv_pred
між тым,МIЖ ТЫМ міністр замежных спраў Літвы Аўдронюс Ажубаліс 9 сакавіка падчас нефармальнай сустрэчы кіраўнікоў МЗС краін Еўрасаюза ў Капенгагене заклікаў ЕС прытрымлівацца адзінай пазіцыі ў пытанні будаўніцтва Астравецкай і Калінінградскай атамных электрастанцый.,adv_pred
ўбок,"Капітан між тым варухнуў упартым падбародкам, паказваючы кудысьці ЎБОК.",adv_pred
на сябе,"Такім чынам, шматлікія версіі сышліся ў непрыемнай знаходцы шэрагу містыфікацый, якія больш за паўстагоддзя нацягвалі НА СЯБЕ маску арыгінальных тэкстаў.",adv_pred
ўвесь час,"Я ЎВЕСЬ ЧАС думаў пра цябе, дзень і ноч.",adv_pred
да таго,"Ягоная ж старэнькая маці, дажыўшы да пенсіі, перастала прызнаваць камуністычную ўладу наогул, якую ДА ТАГО тайна і ўпарта ненавідзела за пагібель мужа ў трыццатыя, размаўляла з сялянамі па-беларуску і зрэдчас хадзіла ў каталіцкі касьцёл, бо ў акрузе не было ўніяцкага.",adv_pred
у выніку,Сікхізм уяўляе сабой рэлігію што паходзіць з індыйскага субкантынента. Яна зявілася ў 15 стагоддзі ў рэгіене пенджаб У ВЫНІКУ ўзнікнення ў індуізме розных сектанцкіх груп.,adv_pred
ўсе яшчэ,Я ЎСЕ ЯШЧЭ трымаю шампанскае.,adv_pred
на месцы,"Няважна ў які бок, абы не сядзець НА МЕСЦЫ.",adv_pred
