expression,context
Aż do,"Aż do około 1970 roku, kryptografia była praktykowana głównie w tajemnicy przez agencje wojskowe lub szpiegowskie."
Bez sensu,I)' 'Walka o przetrwanie' 'Masturbacja' 'Szczęście' 'Agresja' 'Jestem tank' 'Al-Afrat' 'Nie chcę za was umierać' 'Bez sensu' 'Nowo-nowe..'.
Bez wątpienia,"W 1972r. wiceadmirał amerykańskiej marynarki wojennej H. S. Duckworth, po przeczytaniu japońskich dokumentów dotyczących bitwy, stwierdził: „Bez wątpienia, 7 maja 1942 r., okolice Morza Koralowego były najbardziej zagmatwanym obszarem bitwy w historii świata”."
Biały Kruk,"Przemiany polskiej pamięci, Wydawnictwo Biały Kruk, Kraków 2012."
Cały Dzień,A.D.I.D.A.S. to akronim słów 'Przez Cały Dzień Marzę O Seksie' (All Day I Dream About Sex).
Cały czas,Cały czas było mi zimno.
Chorób Psychicznych,Pierwszy podręcznik do nauki pielęgniarstwa psychiatrycznego zatytułowany Nursing Mental Diseases (Pielęgniarstwo Chorób Psychicznych) autorstwa Harriet Bailey opublikowany został jednak dopiero w 1920 roku.
Co do,"Co do jego wznawiania gry, jest genialny!"
Co doprowadziło,Co doprowadziło Wakefielda od bycia szanowanym badaczem do zwolennika teorii spiskowych?'' – Paul Offit dla The Hollywood Reporter.
Co dowiedziałem,"'Cytuj z Megumi Hayashibara, w niej' Co dowiedziałem się od spotkania z dziewczyną, która nie znała ', 1996."
Co najmniej,"Co najmniej 5 okultacji gwiazd przez Hygieę było obserwowanych przez astronomów, ale wszystkie przez najwyżej kilku niezależnych obserwatorów, przez co uzyskano niewiele wiadomości o jej kształcie."
Co prawda,"Co prawda odrzuciła pierwszą propozycję Mandeli dotyczącą małżeństwa, co spowodowane było chęcią zachowania pewnej niezależności i dzieleniem czasu pomiędzy Mozambikiem a Johannesburgiem."
Co więcej,"Co więcej, kibice byli rozczarowani słabymi wynikami klubu."
Czarnym charakterem,"Czarnym charakterem z tej serii są Dark Fall, którzy szukają Fontanny Słońca, ostatniej z Siedmiu Fontann, które żywią Drzewo Świata - źródło wszystkich form życia we wszystkich światach."
