expression,context
Arsch in der Hose,"Haste kein’n Arsch in der Hose, oder was?"
Brief und Siegel,Darauf wies auch Peter Swarber hin: Die Stadt habe sich bezahlen lassen und dafür eine befristete Sicherheitsgarantie – mit Brief und Siegel – gegeben.
Butter bei die Fische,"Kommt, Jungs! Gebt mal bisschen Butter bei die Fische und wir gewinnen das Spiel!"
Dampf ablassen,"Zu dem Zeitpunkt erlaubten NZPO2 und ich, den Schnaps auszugeben, der den Absturz überstanden hatte, und wir feierten eine Party (makaber, aber wir mussten einfach Dampf ablassen)."
Dorn im Auge,Dabei blieb er allerdings politisch eher ein Hinterbänkler und blieb stets ein Dorn im Auge der Ministerialbürokratie.
Ende der Fahnenstange,Das Ende der Fahnenstange ist noch lange nicht erreicht.
Fersengeld geben,Ohne Beute mussten die Täter Fersengeld geben.
Flagge zeigen,"Eine unverwechselbare Position, bei der die CDU Flagge zeigen musste, war das Recht auf Leben. Hier galt es, eindeutig Stellung zu beziehen, ungeachtet dessen, wie die Entscheidung der Mehrheit in unserem Lande ausfiel."
Früchte tragen,"Lemon Drop sind sehr ertragreiche Chilipflanzen, in einem Jahr kann eine Pflanze über 100 Früchte tragen."
Hand in Hand,Behörden und die Schwulenbewegung arbeiteten erfolgreich Hand in Hand.
Hinter den Kulissen,"Hinter den Kulissen dieser nur scheinbar harmlosen Vergnügungseinrichtung laufen schließlich die Fäden zusammen, werden Morde vorbereitet und Informationen ausgetauscht."
Keine zehn Pferde,Keine zehn Pferde könnten mich dahin kriegen.
Mit anderen Worten,"Mit anderen Worten: Wir sind zu 95% sicher, dass wir in den letzten 95% aller Menschen liegen, die jemals geboren werden."
Staat machen,Mit uns kannst du wirklich keinen Staat machen.
Staat machten,"Nur der Dirigent hatte einen Namen, der mit dem der Stadt zusammenging, und Staat machten beide Namen."
